x y z m s sqe
0.54 -0.02 9.98 33 17 12971
0.54 -0.02 9.98 33 17 12972
0.54 -0.02 9.98 33 17 12973
0.55 -0.02 9.98 33 17 12974
0.55 -0.02 9.98 33 17 12975
0.55 -0.02 9.98 33 17 12976
0.55 -0.02 9.98 33 17 12977
0.55 -0.02 9.98 33 17 12978
0.55 -0.02 9.98 33 17 12979
0.55 -0.02 9.98 33 17 12980
0.56 -0.02 9.98 33 17 12981
0.56 -0.02 9.98 33 17 12982
0.56 -0.02 9.98 33 17 12983
0.56 -0.02 9.98 33 17 12984
0.56 -0.02 9.98 33 17 12985
0.56 -0.02 9.98 33 17 12986
0.57 -0.02 9.98 33 17 12987
0.57 -0.02 9.98 33 17 12988
0.57 -0.02 9.98 33 17 12989
0.57 -0.02 9.98 33 17 12990
0.57 -0.02 9.98 33 17 12991
0.57 -0.02 9.98 33 17 12992
0.58 -0.02 9.98 33 17 12993
0.58 -0.02 9.98 33 17 12994
0.58 -0.02 9.98 33 17 12995
0.58 -0.02 9.98 33 17 12996
0.58 -0.02 9.98 33 17 12997
0.58 -0.02 9.98 33 17 12998
0.59 -0.02 9.98 33 17 12999
0.59 -0.02 9.98 33 17 13000
0.59 -0.02 9.98 33 17 13001
0.59 -0.02 9.98 33 17 13002
0.59 -0.02 9.98 33 17 13003
0.59 -0.02 9.98 33 17 13004
0.6 -0.02 9.98 33 17 13005
0.6 -0.02 9.98 33 17 13006
0.6 -0.02 9.98 33 17 13007
0.6 -0.02 9.98 33 17 13008
0.6 -0.02 9.98 33 17 13009
0.6 -0.02 9.98 33 17 13010
0.61 -0.02 9.98 33 17 13011
0.61 -0.02 9.98 33 17 13012
0.61 -0.02 9.98 33 17 13013
0.61 -0.02 9.98 33 17 13014
0.61 -0.02 9.98 33 17 13015
0.61 -0.02 9.98 33 17 13016
0.62 -0.02 9.98 33 17 13017
0.62 -0.02 9.98 33 17 13018
0.62 -0.02 9.98 33 17 13019
0.62 -0.02 9.98 33 17 13020
0.62 -0.03 9.98 33 17 13021
0.62 -0.03 9.98 33 17 13022
0.63 -0.03 9.98 33 17 13023
0.63 -0.03 9.98 33 17 13024
0.63 -0.03 9.98 33 17 13025
0.63 -0.03 9.98 33 17 13026
0.64 -0.03 9.98 33 17 13027
0.64 -0.03 9.98 33 17 13028
0.64 -0.03 9.98 33 17 13029
0.64 -0.03 9.98 33 17 13030
0.64 -0.03 9.98 33 17 13031
0.64 -0.03 9.98 33 17 13032
0.65 -0.03 9.98 33 17 13033
0.65 -0.03 9.98 33 17 13034
0.65 -0.03 9.98 33 17 13035
0.65 -0.03 9.98 33 17 13036
0.65 -0.03 9.98 33 17 13037
0.65 -0.03 9.98 33 17 13038
0.66 -0.03 9.98 33 17 13039
0.66 -0.03 9.98 33 17 13040
0.66 -0.03 9.98 33 17 13041
0.66 -0.03 9.98 33 17 13042
0.67 -0.03 9.98 33 17 13043
0.67 -0.03 9.98 33 17 13044
0.67 -0.03 9.98 33 17 13045
0.67 -0.03 9.98 33 17 13046
0.67 -0.03 9.98 33 17 13047
0.67 -0.03 9.98 33 17 13048
0.68 -0.03 9.98 33 17 13049
0.68 -0.03 9.98 33 17 13050
0.68 -0.03 9.98 33 17 13051
0.68 -0.03 9.98 33 17 13052
0.69 -0.03 9.98 33 17 13053
0.69 -0.03 9.98 33 17 13054
0.69 -0.03 9.98 33 17 13055
0.69 -0.03 9.98 33 17 13056
