x y z m s sqe
2.47 -0.06 9.99 33 22 4061
2.48 -0.06 9.99 33 22 4062
2.5 -0.06 9.99 33 22 4063
2.52 -0.06 9.99 33 22 4064
2.53 -0.06 10 33 22 4065
2.54 -0.06 10 33 22 4066
2.56 -0.06 10 33 22 4067
2.58 -0.06 10 33 22 4068
2.59 -0.06 10 33 22 4069
2.6 -0.06 10 33 22 4070
2.62 -0.06 10 33 22 4071
2.63 -0.06 10 33 22 4072
2.65 -0.06 10 33 22 4073
2.66 -0.06 10 33 22 4074
2.67 -0.06 10 33 22 4075
2.69 -0.06 10 33 22 4076
2.7 -0.06 10 33 22 4077
2.71 -0.06 10 33 22 4078
2.73 -0.06 10 33 22 4079
2.74 -0.06 10 33 22 4080
2.75 -0.07 10 33 22 4081
2.76 -0.07 10 33 22 4082
2.77 -0.07 10 33 22 4083
2.78 -0.07 10 33 22 4084
2.79 -0.07 10 33 22 4085
2.8 -0.07 10 33 22 4086
2.81 -0.07 10 33 23 4087
2.82 -0.07 10 33 23 4088
2.83 -0.07 10 33 23 4089
2.84 -0.07 10 33 23 4090
2.85 -0.07 10 33 23 4091
2.86 -0.07 10 33 23 4092
2.87 -0.07 10 33 23 4093
2.88 -0.07 10 33 23 4094
2.88 -0.07 10 33 23 4095
2.89 -0.07 10 33 23 4096
2.9 -0.07 10 33 23 4097
2.91 -0.07 10 33 23 4098
2.92 -0.07 10 33 23 4099
2.93 -0.07 10 33 23 4100
2.94 -0.07 10 33 23 4101
2.94 -0.07 10 33 23 4102
2.95 -0.07 10 33 23 4103
2.96 -0.07 10 33 23 4104
2.96 -0.07 10 33 23 4105
2.97 -0.07 10 33 23 4106
2.98 -0.07 10 33 23 4107
2.98 -0.07 9.99 33 23 4108
2.99 -0.08 9.99 33 23 4109
3 -0.08 9.99 33 23 4110
3.01 -0.08 9.99 33 23 4111
3.01 -0.08 9.99 33 23 4112
3.02 -0.08 9.99 33 23 4113
3.03 -0.08 9.99 33 23 4114
3.04 -0.08 9.99 33 23 4115
3.04 -0.08 9.99 33 23 4116
3.05 -0.08 9.99 33 24 4117
3.05 -0.08 9.99 33 24 4118
3.06 -0.08 9.99 33 24 4119
3.06 -0.08 9.99 33 24 4120
3.07 -0.09 9.99 33 24 4121
3.08 -0.09 10 33 24 4122
3.08 -0.09 10 33 24 4123
3.09 -0.09 10 33 24 4124
3.09 -0.09 10 33 24 4125
3.1 -0.09 10 33 24 4126
3.1 -0.09 10 33 24 4127
3.11 -0.09 10 33 24 4128
3.11 -0.09 10 33 24 4129
3.12 -0.09 10 33 24 4130
3.12 -0.09 10 33 24 4131
3.12 -0.09 10 33 24 4132
3.13 -0.09 10 33 24 4133
3.14 -0.09 10 33 24 4134
3.14 -0.09 10 33 24 4135
3.15 -0.09 10.01 33 24 4136
3.16 -0.1 10.01 33 24 4137
3.16 -0.1 10.01 33 24 4138
3.17 -0.1 10.01 33 24 4139
3.17 -0.1 10.01 33 24 4140
3.17 -0.1 10.01 33 24 4141
3.18 -0.1 10.02 33 24 4142
3.19 -0.1 10.02 33 24 4143
3.19 -0.1 10.02 33 24 4144
3.2 -0.1 10.02 33 24 4145
3.21 -0.1 10.03 33 24 4146
3.22 -0.1 10.03 33 25 4147
3.23 -0.1 10.03 33 25 4148
